Datetime,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-01-07 19:35:00,1.276976,1.276976,1.276976,1.276976,0.000000
2019-01-07 19:37:00,1.276927,1.276927,1.276927,1.276927,0.000000
2019-01-07 19:39:00,1.276699,1.276764,1.276699,1.276764,0.000000
2019-01-07 19:42:00,1.276748,1.276748,1.276748,1.276748,0.000000
2019-01-07 19:44:00,1.276666,1.276666,1.276666,1.276666,0.000000
2019-01-07 19:45:00,1.276650,1.276650,1.276650,1.276650,0.000000
2019-01-07 19:47:00,1.276454,1.276454,1.276454,1.276454,0.000000
2019-01-07 19:49:00,1.276634,1.276683,1.276634,1.276683,0.000000
2019-01-07 19:52:00,1.276944,1.276944,1.276944,1.276944,0.000000
2019-01-07 19:54:00,1.276683,1.276683,1.276552,1.276552,0.000000
2019-01-07 19:57:00,1.276650,1.276650,1.276650,1.276650,0.000000
2019-01-07 19:59:00,1.276829,1.276829,1.276829,1.276829,0.000000
2019-01-07 20:00:00,1.277074,1.277074,1.277074,1.277074,0.000000
2019-01-07 20:02:00,1.277009,1.277009,1.277009,1.277009,0.000000
2019-01-07 20:04:00,1.276944,1.276944,1.276829,1.276829,0.000000
2019-01-07 20:07:00,1.277058,1.277058,1.277058,1.277058,0.000000
2019-01-07 20:09:00,1.276878,1.276878,1.276878,1.276878,0.000000
2019-01-07 20:10:00,1.276764,1.276764,1.276764,1.276764,0.000000
2019-01-07 20:12:00,1.276764,1.276764,1.276764,1.276764,0.000000
2019-01-07 20:14:00,1.276764,1.276764,1.276764,1.276764,0.000000
2019-01-07 20:15:00,1.276764,1.276764,1.276764,1.276764,0.000000
2019-01-07 20:17:00,1.276634,1.276634,1.276634,1.276634,0.000000
2019-01-07 20:19:00,1.276666,1.276666,1.276666,1.276666,0.000000
2019-01-07 20:20:00,1.276748,1.276748,1.276748,1.276748,0.000000
2019-01-07 20:22:00,1.276569,1.276569,1.276569,1.276569,0.000000
2019-01-07 20:23:00,1.276569,1.276569,1.276569,1.276569,0.000000
2019-01-07 20:24:00,1.276569,1.276666,1.276569,1.276666,0.000000
2019-01-07 20:27:00,1.276683,1.276683,1.276683,1.276683,0.000000
2019-01-07 20:29:00,1.276699,1.276699,1.276699,1.276699,0.000000
2019-01-07 20:30:00,1.276454,1.276454,1.276454,1.276454,0.000000
2019-01-07 20:32:00,1.276503,1.276503,1.276503,1.276503,0.000000
2019-01-07 20:34:00,1.276389,1.276389,1.276389,1.276389,0.000000
2019-01-07 20:35:00,1.276650,1.276650,1.276650,1.276650,0.000000
2019-01-07 20:37:00,1.276634,1.276634,1.276634,1.276634,0.000000
2019-01-07 20:38:00,1.276748,1.276748,1.276748,1.276748,0.000000
2019-01-07 20:39:00,1.276764,1.276764,1.276748,1.276748,0.000000
2019-01-07 20:40:00,1.276748,1.276748,1.276748,1.276748,0.000000
2019-01-07 20:41:00,1.276862,1.276862,1.276862,1.276862,0.000000
2019-01-07 20:42:00,1.276960,1.276960,1.276960,1.276960,0.000000
2019-01-07 20:43:00,1.276895,1.276895,1.276895,1.276895,0.000000
2019-01-07 20:44:00,1.276992,1.276992,1.276992,1.276992,0.000000
